"";"No procedure property";F;" ";T;F;"";2013/06/05;"Ei toimenpideoiminaisuutta";T
"06S04";"Peritoneal adhesiolysis";T;"0";T;T;"";1996/12/31;"Peritoneaalisten kiinnikkeiden irroittelu";T
"06S05";"Appendectomy";T;"0";T;T;"";1996/12/31;"Umpilis‰kkeen poisto";T
"06S06";"Small or large bowell procedure";T;"0";T;T;"";1998/10/20;"Ohut- tai paksusuolen toimenpide";F
"06S07";"Minor intestinal procedure";T;"0";T;T;"";1998/10/20;"V‰h‰inen suoliston leikkaus";F
"06S08";"Inguinal or femoral herniotomy";T;"0";T;T;"";1996/12/31;"Nivustyr‰n tai reisityr‰n leikkaus";T
"06S09";"Other herniotomy";T;"0";T;T;"";1996/12/31;"Muu tyr‰leikkaus";T
"06S10";"Other digestive system OR procedure";T;"0";T;T;"";1996/12/31;"Muu ruuansulatuskanavansairauden toimenpide";F
"06S20";"Diagnostic pleural procedure";T;"0";T;F;"06";1998/01/07;"Diagnostinen pleuratilan tarkistus";T
"06S21";"Major operation on stomach, esophagus and duodenum";T;"1";T;F;"06";2003/05/14;"Yksinkertainen suoliavanneleikkaus tai muu vastaava suolistotoimenpide";T
"06S22";"Minor stomach or esophagus procedure";F;"0";T;F;"";2000/11/21;"Pieni vatsan tai ruokatoven toimenpide";F
"06S30";"Removal of retroperitoneal tumour";T;"0";T;F;"06";/  /;"Retroperitoneaalisen kasvaimen poisto";T
"06T01";"Special medical therapy for gastrointestinal disease";F;"0";T;F;"";/  /;"";T
"06T03";"Special demanding medical therapy for gastrointestinal disease";F;"0";T;F;"";/  /;"";F
"06T04";"Special subcutaneous therapy for gastrointestinal disease";F;"0";T;F;"";/  /;"";T
"06V01";"Intervetion for colorectal obstruction";F;"0";T;F;"";/  /;"";T
"06V02";"Gastrointestinal physiologic test";F;"0";T;F;"";/  /;"";T
"06V03";"Puncture or biopsy of abdominal organ without endoscopy";F;"0";T;F;"";/  /;"";F
"06V04";"Other anorectal intervention";F;"0";T;F;"";/  /;"";T
"06V05";"Minor abdominal intervetion,";F;"0";T;F;"";/  /;"";T
"06V06";"Gastrointestinal sond or tube intervention";F;"0";T;F;"";/  /;"";F
"06V07";"Minor intestinal or abdominal intervention";F;"0";T;F;"";/  /;"";F
"07D31";"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 07";F;"0";T;F;"";2005/01/17;"";F
"07D32";"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic  organs in MDC 07";F;"0";T;F;"";2005/01/17;"";F
"07D61";"Diagnostic procedure of periferal vascular system in MDC 07";F;"0";T;F;"";2004/08/10;"";T
"07D62";"Demanding diagnostic procedure of periferal vascular system in MDC 07";F;"0";T;F;"";2004/08/10;"";T
"07E05";"Therapeutic endoscopy of lower gastrointestinal tract for hepatobiliar";F;"0";T;F;"07";2002/01/21;"";T
"07E06";"Therapeutic endoscopy of upper gastrointestinal tract for hepatobiliar";T;"0";T;F;"07";2002/01/21;"";F
"07E08";"Endoscopic ultrasound examination of hepatobiliary problems";F;"0";T;F;"07";2002/01/21;"";T
"07E11";"Endoscopy of upper gastrointestinal tract for hepatobiliary problem";F;"0";T;F;"07";2004/10/14;"";F
"07E13";"Endoscopic insertion of stent to biliary tract or pancreas for hepatobiliar problem";T;"0";T;F;"07";2002/12/13;"";F
"07E14";"Other therapeutic endoscopy of biliary tract for hepatobiliary problem";T;"0";T;F;"07";2002/01/21;"";F
"07E15";"Diagnostic endoscopy of biliary tract for gastrointestinal problem";T;"0";T;F;"07";2002/01/21;"";F
"07O01";"Transcutaneous hepatobiliary procedure";F;"0";T;F;"";2005/10/08;"";F
"07S01";"Pancreas, liver or splancnic shunt procedure";T;"1";T;T;"";1996/12/31;"Haiman tai maksan leikkaus tai vatsasuonten ohitusleikkaus";T
"07S02";"Common bile duct exploration";T;"0";T;T;"";1996/12/31;"Sappitiehyeen tutkiminen";F
"07S03";"Cholecystectomy";T;"0";T;T;"";1996/12/31;"Sappirakon poisto";T
"07S04";"Laparoscopic cholecystectomy";T;"0";T;T;"";1996/12/31;"Laparoskooppinen sappirakon poisto";T
"07S05";"Other biliary tract procedure";T;"0";T;T;"";1996/12/31;"Muu sappiteiden leikkaus";F
"07S06";"Hepatobiliary diagnostic procedure";T;"0";T;F;"";1996/12/31;"Maksan ja haiman alueen diagnostinen tutkimus";F
"07S07";"Other hepatobiliary or pancreas procedure";T;"0";T;F;"";1996/12/31;"Muu maksan, sappiteiden tai haiman toimenpide";F
"07S08";"Endoscopic procedure of choledochus or pancreas";T;"0";T;F;"";/  /;"Endoskooppinen sappi- tai haimatietoimenpide";F
"07V01";"Extracorporeal shock wave litotripsy";F;"0";T;F;"";/  /;"";F
"07V02";"Hepatobiliary or pancreas punktion";F;"0";T;F;"07";2011/06/13;"Hepatobiliary or pancreas punktion";F
"08D01";"Diagnostic procedure of head, neck and central nervous system in MDC 08";F;"0";T;F;"";/  /;"";T
"08D02";"Demanding diagnostic procedure of head, neck and central nervous system in MDC 08";F;"0";T;F;"";2005/01/17;"";F
"08D32";"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 08";F;"0";T;F;"";2005/01/17;"";T
"08D41";"Diagnostic procedure of musculosceletal system in MDC08";F;"0";T;F;"";2004/08/10;"";F
"08D42";"Demanding diagnostic procedure of musculosceletal system in MDC 08";F;"0";T;F;"";2004/08/10;"";F
"08D61";"Diagnostic procedure of periferal vascular system in MDC 08";F;"0";T;F;"";2004/08/10;"";T
"08O01";"Custom moulded cast circulating body";F;"0";T;F;"";/  /;"";F
"08O02";"Closed procedure on joint or fracture";F;"0";T;F;"";/  /;"";F
"08O03";"Puncture of deep joint or injection to joint, short therapy";F;"0";T;F;"";/  /;"";T
"08O04";"Transcutaneous musculoscletal biopsy";F;"0";T;F;"";/  /;"";F
"08O05";"Intra-articular medication";F;"0";T;F;"";/  /;"";F
"08O06";"Circular custom molded cast of extremity";F;"0";T;F;"";/  /;"";F
"08O07";"Extraction of fixation material";F;"0";T;F;"";/  /;"";F
"08O08";"Other orthopedic bandage procedure";F;"0";T;F;"";/  /;"";T
"08O09";"Implantation of sceletal marker";F;"0";T;F;"";/  /;"";F
"08O10";"Puncture of other joint";F;"0";T;F;"";/  /;"";F
"08O11";"Orthosis for large joints";F;"0";T;F;"";/  /;"";F
"08O12";"Orthopedic bandage without cast";F;"0";T;F;"";/  /;"";F
"08O13";"Orthosis for other joints";F;"0";T;F;"";/  /;"";T
"08O14";"Intra-articular medication";F;"0";T;F;"";2007/11/12;"";F
"08O15";"Application of prefabricated orthosis";F;"0";T;F;"";2007/11/12;"";F
"08O16";"Simple incisons and foreign body removals in orthopedics";F;"0";T;F;"";/  /;"";F
"08O17";"Muscle and sceletal biopsies";F;"0";T;F;"";/  /;"";F
"08O18";"Puncture of joint";F;"0";T;F;"";/  /;"";F
"08O19";"Closed joint or fracture reduction or joint mobilisation";F;"0";T;F;"";/  /;"";F
"08O20";"Othopaedic bandage";F;"0";T;F;"";/  /;"";F
"08O21";"Othopaedic prosthesis testing and check-up";F;"0";T;F;"";2007/11/12;"";F
"08O22";"Orthopaedic diagnostic ultrasound";F;"0";T;F;"";2007/11/14;"";F
"08S02";"Wound debriment or skin graft procedure";T;"0";T;F;"";1997/12/10;"Haavan revisio tai ihon siirto";T
"08S04";"Musculosceletal system or connective tissue biopsy";T;"0";T;F;"";1996/12/31;"Luu-, lihas- tai sidekudosbiopsia";F
"08S06";"Amputation";T;"1";T;T;"";1996/12/31;"Amputaatio";T
"08S08";"Back or neck procedure";T;"1";T;T;"";1996/12/31;"Sel‰n tai niskan leikkaus";T
"08S10";"Foot and leg procedures for infection";T;"0";T;F;"";/  /;"Jalan ja s‰‰ren infektiotoimenpiteet";T
"08S11";"Local excision and removal of internal fixation devices, except hip and femur";T;"0";T;T;"";1996/12/31;"Paikallinen luuleikkaus tai sis‰isten fiksatiolaitteiden poisto";F
"08S12";"Soft tissue procedure";T;"0";T;T;"";1996/12/31;"Pehmytkudosleikkaus";F
"08S13";"Local excision or removal of internal fixation devices from hip or femur";T;"0";T;T;"";1996/12/31;"Paikallinen luuleikkaus tai sis‰isten fiksatiolaitteiden poisto lonkasta tai reidest‰";T
"08S14";"Interbody fusion of spine";T;"1";T;F;"06";2003/09/26;"";T
"08S15";"Other fusion of spine";T;"1";T;F;"06";/  /;"";T
"08S16";"Combined anterior and posterior fusion of spine";T;"1";T;F;"06";/  /;"";T
"08S18";"Open fracture surgery of spine";T;"0";T;F;"08";/  /;"Open fracture surgery of spine";T
"08S19";"Arthroscopy";T;"0";T;F;"";1996/12/31;"Atroskopia";T
"08S20";"Other musculosceletal system or connective tissue OR procedure";T;"0";T;T;"";1996/12/31;"Muu tuki- ja liikuntaelinj‰rjestelm‰n leikkaus";F
"08S22";"Facial bone operation for trauma";F;"0";T;F;"";/  /;"Kasvojen luuleikkaus vamman takia";F
"08S23";"Operation on intervertebral disc in lumbal region";F;"0";T;F;"";2000/11/20;"Lannerangan v‰lilevyleikkaus";T
"08S40";"Tumor removal from shoulder or humerus";T;"0";T;F;"08";1997/12/11;"Kasvaimen poisto olkap‰‰st‰ tai olkavarresta";T
"08S41";"Tumor removal from elbow or forearm";T;"0";T;F;"08";1997/12/11;"Kasvaimen poisto kyyn‰rp‰‰st‰ tai kyyn‰rvarresta";T
"08S42";"Tumor removal from wrist or hand";T;"0";T;F;"08";1997/12/11;"Kasvaimen poisto k‰dest‰ tai ranteesta";T
"08S43";"Tumor removal from pelvis, hip or femur";T;"0";T;F;"08";1997/12/11;"Kasvaimen poisto lantiosta, lonkasta tai reidest‰";T
"08S44";"Tumor removal form knee or lower leg";T;"0";T;F;"08";1997/12/12;"Polven tai s‰‰ren kasvaimen poisto";T
"08S45";"Tumor removal from ankle or foot";T;"0";T;F;"08";1997/12/12;"Kasvaimen poisto nilkasta tai jalkater‰st‰";T
"08S46";"Procedure for syndactyly of hand";T;"0";T;F;"08";2000/05/08;"K‰den syndaktylian leikkaus";F
"08S47";"Procedure for syndactyly of foot";T;"0";T;F;"";2000/05/08;"Jalan syndaktylian leikkaus";F
"08S50";"Shoulder or humerus procedure";T;"0";T;F;"";1996/12/31;"Olkap‰‰n tai olkavarren leikkaus";T
"08S51";"Major shoulder procedures";T;"0";T;F;"";1996/12/31;"Laaja olkap‰‰n leikkaus";T
"08S52";"Other shoulder  procedure";T;"0";T;T;"";1996/12/31;"Muu olkap‰‰n leikkaus";F
"08S53";"Humerus procedure";T;"0";T;F;"";1996/12/31;"Olkavarren leikkaus";T
"08S55";"Major elbow or forearm procedure";T;"0";T;F;"";1996/12/31;"Laaja kyyn‰rp‰‰n tai kyyn‰rvarren leikkaus";T
"08S56";"Other elbow or forearm procedure";T;"0";T;F;"";1996/12/31;"Muu kyyn‰rp‰‰n tai kyyn‰rvarren leikkaus";F
"08S57";"Major thumb or wrist procedure";T;"0";T;F;"";1996/12/31;"Laaja peukalon tai ranteen nivelten leikkaus";T
"08S58";"Other hand or wrist procedure";T;"0";T;T;"";1996/12/31;"Muu k‰den tai ranteen leikkaus";F
"08S60";"Joint replacement or limb reattachment procedure of the upper extremity";T;"1";T;F;"";1996/12/31;"Yl‰raajan proteesileikkaus tai takaisinistutus";T
"08S61";"Prosthetic replacement of joint of shoulder";T;"0";T;F;"";/  /;"";T
"08S62";"Prosthetic replacement of elbow";T;"0";T;F;"";/  /;"";T
"08S70";"Major knee procedures in  short therapy";T;"0";T;F;"08";2011/06/08;"Major knee procedures in  short therapy";T
"08S71";"Pelvic, hip or femur procedure, except major joint";T;"0";T;T;"";1996/12/31;"Lantion, lonkan tai reiden leikkaus, ei laaja nivelleikkaus";F
"08S72";"Knee procedure except major joint";T;"0";T;T;"";1996/12/31;"Polvileikkaus";F
"08S73";"Procedure of lower leg or ankle except major joint or soft tissue procedure";T;"0";T;F;"";1997/09/28;"S‰‰ren tai nilkan toimenpide, ei laaja nivelleikkaus tai pehmytkudostoimenpide";T
"08S74";"Procedure of foot except major joint";T;"0";T;F;"";1996/12/31;"Jalkater‰n toimenpide";F
"08S75";"Procedure on knee or lower leg";T;"0";T;F;"08";/  /;"Polven tai s‰‰ren toimenpide";F
"08S76";"Procedure on ankle or foot";T;"0";T;F;"08";/  /;"Nilkan tai jalkater‰n toimenpide";F
"08S77";"Fracture surgery of ankle and foot";F;"0";T;F;"08";2003/09/11;"Jalan murtumakirurgia";F
"08S78";"Major pelvic, hip or femur trauma procedure";T;"1";T;F;"";2013/04/28;"";T
"08S79";"Limb reattachment in lower extremity";F;"1";T;F;"";2013/05/20;"Alaaajan takaisinistutusleikkaus";T
"08S81";"Prosthetic replacement of joint of hip or pelvis";T;"1";T;F;"";1996/12/31;"Lonkan tai lantion proteesileikkaus";T
"08S82";"Replacement of knee by prosthesis";T;"1";T;F;"";1996/12/31;"Polven keinonivelleikkaus";T
"08S83";"Total replacemaent of ankle by prosthesis";T;"1";T;F;"";1996/12/31;"Nilkan totaali keinonivelleikkaus";T
"08S84";"Reoperation on pelvic, knee or ankle prosthesis";F;"0";T;F;"";2000/11/20;"Lonkan, polven tai nilkan keinonivelen uusintaleikkaus";T
"08S85";"Fracture operation of foot";F;"0";T;F;"";2000/11/20;"Jalkater‰n murtumaleikkaus";T
"08S91";"Excise of bone for graft";T;"0";T;F;"08";/  /;"Luun ottaminen siirtoa varten";F
"08S92";"Reoperation on large lower leg joint prosthesis";T;"0";T;F;"";2002/11/14;"Alaraajan ison nivelen proteesin uusintaleikkaus";T
"08S93";"Hip secondary procedure";T;"1";T;F;"08";/  /;"";T
"08S94";"Knee secondary procedure";T;"1";T;F;"08";/  /;"";T
"08S95";"Secondary ankle procedure";T;"1";T;F;"08";2012/06/28;"Secondary ankle procedure";T
"08S98";"Extern fixation of wrist";T;"0";T;F;"";2003/07/05;"Ranteen ulkoinen kiinnitys";T
"08T01";"Special medical therapy of musculosceletal system";F;"0";T;F;"";/  /;"";F
"08T02";"Demanding medical therapy of musculosceletal system";F;"0";T;F;"";/  /;"";F
"08T03";"Special demanding medical therapy of musculosceletal system";F;"0";T;F;"";/  /;"";F
"08V01";"Orthopedic bandage of body";F;"0";T;F;"";/  /;"";T
"08V02";"Closed intervention on joint or reposition of fracture";F;"0";T;F;"";/  /;"";F
"08V03";"External traction";F;"0";T;F;"";2013/04/29;"";F
"08V04";"Puncture of deep joint of rinsing of joint";F;"0";T;F;"";/  /;"";F
"08V05";"Musculosceletal puncture for biopsy";F;"0";T;F;"";/  /;"";F
"08V06";"Minor incision of musculoscleletal soft tissue";F;"0";T;F;"";/  /;"";F
"08V07";"Intra articular medication";F;"0";T;F;"";/  /;"";F
"08V08";"Orthopedic bandage of extremity";F;"0";T;F;"";/  /;"";F
"08V09";"Extrction of external fixation";F;"0";T;F;"";/  /;"";F
"08V10";"Orthopedic bandage with custom molded splint";F;"0";T;F;"";/  /;"";F
"08V11";"Implantation of sceletal marker";F;"0";T;F;"";/  /;"";F
"08V12";"Puncture of other joint";F;"0";T;F;"";2013/04/29;"";F
"08V13";"Orthosis of major joint";F;"0";F;F;"";2013/04/29;"";F
"08V14";"Orthopedic bandage";F;"0";T;F;"";2008/05/20;"";F
"08V15";"Prefabricated orthosis";F;"0";T;F;"";2008/05/20;"";F
"09O01";"Photodynamic procedure";F;"0";T;F;"";/  /;"";F
"09O02";"Major skin procedure";F;"0";T;F;"";/  /;"";T
"09O03";"Skin excision or biopsy";F;"0";T;F;"";/  /;"";F
"09O04";"Other minor skin procedure";F;"0";T;F;"";/  /;"";F
"09O05";"Other procedure applying light";F;"0";T;F;"";/  /;"";F
"09O06";"Wound dressing or other therapy";F;"0";T;F;"";/  /;"";F
"09O10";"Major wound therapy";F;"0";T;F;"";/  /;"";F
"09O11";"Other minor skin procedure";F;"0";T;F;"";2008/01/31;"";F
"09O12";"Excision or destruction of skin lesion";F;"0";T;F;"";2009/07/06;"";F
"09O90";"Photodynamic method";F;"0";T;F;"";/  /;"";T
"09S01";"Skin graft or debridement procedure";T;"0";T;T;"";1996/12/31;"Ihon siirto tai haavan puhdistus";F
"09S02";"Plastic procedure";T;"0";T;F;"";1996/12/31;"Plastiikkakirurginen leikkaus";F
"09S06";"Perianal procedure";T;"0";T;F;"";2000/03/03;"Perianaalinen leikkaus";F
"09S07";"Other skin, subcutaneous tissue or breast procedure";T;"0";T;T;"";1996/12/31;"Muu ihon, ihonalaisen kudoksen tai rintarauhasen toimenpide";F
"09S08";"Other skin, subcutaneous tissue or breast procedure, not OR procedure";T;"0";T;F;"";/  /;"Muu ihon, ihonalaisen kudoksen tai rintarauhasen pientoimenpide, ei leikkaussalitoimenpide";F
"09S20";"Pilonidal sinus procedure";T;"0";T;F;"";2000/03/03;"Pilonidaalisinuksen leikkaus";F
"09S31";"Removal of breastgland";F;"0";T;F;"";2000/11/20;"Rintarauhasen poistoleikkaus";T
"09S32";"Reconstruction of breast";F;"0";T;F;"";2000/11/20;"Rinnankorjausleikkaus";T
"09S33";"Reduction mammoplasty";F;"0";T;F;"";2000/11/20;"Rinnan pienent‰minen";T
"09S34";"Reconstruction of areola and mamilla";F;"0";T;F;"";2000/11/23;"N‰nnin korjausleikkaus";T
"09T01";"Special medical therapy of skin diseases";F;"0";T;F;"";/  /;"";F
"09T02";"Demanding medical therapy of skin diseases";F;"0";T;F;"";/  /;"";F
"09V02";"Diagnostic or therapeutic major intervention using light";F;"0";T;F;"";/  /;"";T
"09V03";"Outpatient skinn intervention";F;"0";T;F;"";2008/05/20;"";F
"09V04";"Skin excision and biopsy";F;"0";T;F;"";/  /;"";F
"09V05";"Minor dermatologic intervention";F;"0";T;F;"";/  /;"";F
"09V07";"Dressing of wound of skin";F;"0";T;F;"";/  /;"";F
"09V08";"Medical skin care";F;"0";T;F;"";/  /;"";T
"09V09";"Skin excision and biopsy, head and neck";F;"0";T;F;"";/  /;"";F
"10D01";"Diagnostic procedure of head, neck and central nervous system in MDC 10";F;"0";T;F;"";2004/08/10;"";F
"10D02";"Demanding diagnostic procedure of head, neck and central nervous system in MDC 10";F;"0";T;F;"";2005/01/17;"";F
"10D11";"Diagnostic procedure of endocrine organs in MDC 10";F;"0";T;F;"";2004/08/10;"";T
"10D12";"Demanding diagnostic procedure of endocrine organs in MDC 10";F;"0";T;F;"";/  /;"";T
"10D21";"Diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 10";F;"0";T;F;"";2005/01/17;"";F
"10D31";"Demanding diagnostic procedure of heart, large vessels and other intratho";F;"0";T;F;"";2004/08/10;"";T
"10D41";"Diagnostic procedure of musculosceletal system in MDC10";F;"0";T;F;"";2004/08/10;"";F
"10D62";"Demanding diagnostic procedure of periferal vascular system in MDC 10";F;"0";T;F;"";2004/08/10;"";F
"10O01";"Liposuction";F;"0";T;F;"";/  /;"";F
"10O02";"Hormone profile registration";F;"0";T;F;"";/  /;"";T
"10O03";"Puncture of endocrine organ";F;"0";T;F;"";/  /;"";F
"10O04";"Metabolic investigation, short therapy";F;"0";T;F;"";/  /;"";T
"10O05";"Complex endocrine test";F;"0";T;F;"";/  /;"";F
"10O06";"Procedures for nutrition";F;"0";T;F;"";/  /;"";T
"10S01";"Amputation of lower limb";T;"1";T;F;"";1996/12/31;"Alaraajan tai jalan amputaatio";T
"10S02";"Adrenal procedure";T;"0";T;F;"";1997/12/08;"Lis‰munuaisen leikkaus";F
"10S03";"Skin graft or wound revision";F;"0";T;F;"";2006/04/25;"Ihon siirto tai haavauman revisio";T
"10S04";"OR procedure for obesity";T;"0";T;F;"";1996/12/31;"Liikalihavuuden leikkaushoito";F
"10S05";"Parathyroid procedure";T;"0";T;F;"";1996/12/31;"Lis‰kilpirauhasleikkaus";F
"10S06";"Thyroid procedure";T;"0";T;F;"";1996/12/31;"Kilpirauhasleikkaus";F
"10S07";"Thyroglossal procedure";F;"0";F;F;"";2012/04/13;"Thyreoglossuskanavan leikkaus";T
"10S08";"Other endocrine, nutritional or metabolic system OR procedure";T;"0";T;T;"";1996/12/31;"Muu endokriinisen, nutritionaalisen tai metabolisen sairauden kirurgia";F
"10S09";"Pituitary procedure";T;"1";T;F;"10";/  /;"Aivolis‰kkeen toimenpide";T
"10S20";"Gastrointestinal procedure for obesity";T;"0";T;F;"10";/  /;"";T
"10T03";"Special demanding medical therapy for endocrine, metabolic or nuttritional disease";F;"0";T;F;"";/  /;"";T
"10T04";"Miglustat therapy";F;"0";T;F;"";/  /;"";T
"10V01";"Hormone profile determination";F;"0";T;F;"";/  /;"";T
"10V02";"Puncture of endocrine organ";F;"0";T;F;"";2008/05/20;"";F
"10V03";"Metabolic examination";F;"0";T;F;"";/  /;"";T
"10V04";"Diagnostic major endocrine test";F;"0";T;F;"";/  /;"";T
"10V05";"Diagnostic minor endocrine test";F;"0";T;F;"";/  /;"";F
"10V06";"Nutritional intervention";F;"0";T;F;"";/  /;"";T
"10V07";"Liposuction";F;"0";T;F;"";/  /;"";F
"11D21";"Diagnostic procedure of heart, large vessels and other intrathoracic organs in MDC 11";F;"0";T;F;"";2005/01/17;"";F
"11D31";"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 11";F;"0";T;F;"";2005/01/17;"";F
"11D32";"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 11";F;"0";T;F;"";2005/01/17;"";F
"11D61";"Diagnostic procedure of periferal vascular system in MDC 11";F;"0";T;F;"";2004/08/10;"";T
"11D62";"Demanding diagnostic procedure of periferal vascular system in MDC 11";F;"0";T;F;"";2004/08/10;"";F
"11E16";"Therapeutic endoscopy of urinary tract for urinary problem";T;"0";T;F;"11";2002/01/21;"";F
"11E17";"Diagnostic endoscopy of upper urinary tract for urinary problem";T;"0";T;F;"11";2002/01/21;"";F
"11E18";"Diagnostic endoscopy of lower urinary tract for urinary problems";T;"0";T;F;"11";2002/01/21;"";F
"11O01";"Puncture of kidney and retroperitoneum";F;"0";T;F;"";/  /;"";F
"11O02";"Major urogenital outpatient procedure";F;"0";T;F;"";/  /;"";F
"11O03";"Urological fysiological examination";F;"0";T;F;"";/  /;"";T
"11O04";"Minor outpatient urogenital procedure";F;"0";T;F;"";/  /;"";T
"11O05";"Minor lower urinary tract procedures";F;"0";T;F;"";/  /;"";F
"11S01";"Kidney transplant";T;"1";T;F;"";1996/12/31;"Munuaisen siirto";T
"11S02";"Kidney, ureter or major bladder procedure";T;"1";T;T;"";1996/12/31;"Munuaisen tai virtsajohtimen leikkaus tai vaativa virtsarakon leikkaus";F
"11S03";"Minor bladder procedure";T;"0";T;T;"";1996/12/31;"V‰h‰inen virtsarakon toimenpide";F
"11S04";"Prostatectomy";F;"0";T;T;"";1996/12/31;"Prostatektomia";F
"11S05";"Transurethral procedures (no prostatectomy)";T;"0";T;T;"";1996/12/31;"Transuretraalinen toimenpide ( ei prostatektomia)";F
"11S06";"Urethra procedures";T;"0";T;T;"";1996/12/31;"Virtsaputken leikkaus";F
"11S07";"Other kidney or urinary tract OR procedure";T;"0";T;F;"";1996/12/31;"Muu munuaisen tai virtsaputken sairauden toimenpide";F
"11S08";"ESWL";T;"0";T;F;"";1996/12/31;"ESWL";F
"11S09";"Dialysis";T;"0";T;F;"";1996/12/31;"Dialyysihoito";F
"11S10";"Procedures for vesicointestinal fistula";T;"0";T;F;"11";/  /;"Vesikointestinaalisen fistelin leikkaus";T
"11S90";"Blood vessel biopsy";T;"0";T;F;"";1996/12/31;"Verisuonibiopsia";F
"11T01";"Special medication of urinary tract disease";F;"0";T;F;"";/  /;"";F
"11T03";"Special demanding medication or unirnary tract disease";F;"0";T;F;"";/  /;"";T
"11T04";"Special intravenous medication in urinary tract disease";F;"0";T;F;"";2008/11/30;"";T
"11T05";"Special therapy for hypercalcemia in dialysis";F;"0";T;F;"";/  /;"";T
"11V01";"Puncture of kidney and retroperitoneal space";F;"0";T;F;"";/  /;"";F
"11V02";"Major urogenital intervention";F;"0";T;F;"";/  /;"";F
"11V03";"Diagnostic physiological urogenital intervention";F;"0";T;F;"";/  /;"";T
"11V04";"Minor urogenital intervention";F;"0";T;F;"";/  /;"";F
"11V05";"Check-up of patient with dialysis";F;"0";T;F;"11";2011/06/13;"Check-up of patient with dialysis";T
"12D31";"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 12";F;"0";T;F;"";2004/08/10;"";F
"12D32";"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 12";F;"0";T;F;"";2005/01/17;"";F
"12D61";"Diagnostic procedure of periferal vascular system in MDC 12";F;"0";T;F;"";2004/08/10;"";F
"12D62";"Demanding diagnostic procedure of periferal vascular system in MDC 12";F;"0";T;F;"";2004/08/10;"";T
"12E08";"Endoscopic ultrasound examination of prostata and seminal vesicles";F;"0";T;F;"12";2002/01/21;"";T
"12E16";"Therapeutic endoscopy of urinary tract for male genitourinary problem";T;"0";T;F;"12";2002/01/21;"";F
"12E18";"Endoscopy of male genital tract";T;"0";T;F;"12";2002/01/21;"";F
"12O01";"Minor male productive system procedures";F;"0";T;F;"";/  /;"";F
"12S01";"Major pelvic procedure, male";T;"1";T;T;"";1996/12/31;"Miehen lantionalueen vaativa leikkaus";T
"12S02";"Penis procedure";T;"0";T;F;"";1996/12/31;"Peniksen leikkaus";F
"12S03";"Testes procedure";T;"0";T;F;"";1996/12/31;"Kivesleikkaus";F
"12S04";"Transurethral prostatectomy";T;"0";T;T;"";1996/12/31;"Transuretraalinen prostatektomia";F
"12S05";"Circumcisions";T;"0";T;F;"";1996/12/31;"Ymp‰rileikkaus";T
"12S07";"Male sterilization";T;"0";T;F;"";1996/12/31;"Miehen sterilisaatio";F
"12S08";"Other male reproductive system OR procedure";T;"0";T;F;"";1996/12/31;"Muu miehen lis‰‰ntymiselinten toimenpide";F
"12T01";"Local radiotherapy of prostate";F;"0";T;F;"";/  /;"";F
"12T11";"Special medical therapy of male reproductive organs";F;"0";T;F;"";/  /;"";F
"12T13";"Special demanding medical therapy of male reproductive system";F;"0";T;F;"";/  /;"";F
"12V02";"Intervention of male genital organs";F;"0";T;F;"";/  /;"";F
"13D01";"Minor gynecologic diagnostic radiology";F;"0";T;F;"";/  /;"";F
"13D31";"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 13";F;"0";T;F;"";/  /;"";T
"13D32";"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 13";F;"0";T;F;"";2004/08/10;"";T
"13D61";"Diagnostic procedure of periferal vascular system in MDC 13";F;"0";T;F;"";2004/08/10;"";T
"13D62";"Demanding diagnostic procedure of periferal vascular system in MDC 13";F;"0";T;F;"";2004/08/10;"";F
"13E18";"Endoscopy of lower urinary tract for genitourinary problems in females";T;"0";T;F;"13";2002/01/21;"";F
"13E19";"Endoscopy of female genital tract for gynecological problem";T;"0";T;F;"13";2002/01/21;"";F
"13O01";"Major reproductive medicine outpatient procedure, short therapy";F;"0";T;F;"";/  /;"";F
"13O02";"Minor reproductive medicine outpatient procedure";F;"0";T;F;"";/  /;"";F
"13O03";"Gynegological biopsy";F;"0";T;F;"";/  /;"";F
"13O04";"Other minor gynecologic outpatient procedure";F;"0";T;F;"";/  /;"";F
"13S01";"Pelvic evisceration, radical hysterctomy or radical vulvectomy";T;"1";T;F;"";1996/12/31;"Lantion tyhjennys, laajennettu kohdunpoisto tai laajennettu em‰ttimenpoisto";T
"13S02";"Uterine or adnexal procedure";T;"0";T;T;"";1996/12/31;"Kohdun tai sivuelinten leikkaus";F
"13S03";"Laparoscopy or incisional tubal interruption";T;"0";T;F;"";1996/12/31;"Laparoskopia tai munatorvien katkaisu";T
"13S04";"Vagina, cervix or vulva procedure";T;"0";T;F;"";1996/12/31;"Em‰ttimen, kohdunkaluan tai vulvan toimenpide";F
