"";"";"";"";F;2012/06/29;""
"183X";"06";"Esophagitis, gastroent & misc digest disorders, age > 17 w/o cc";"Esophagitis, gastroent & misc digest disorders, age > 17 w/o";T;1998/09/04;"183"
"184A";"06";"Esophagitis, gastroent & misc digest disorders, age 0-17, w cc";"Esophagitis, gastroent & misc digest disorders, age 0-17, w";T;1998/11/23;"184A"
"184B";"06";"Esophagitis, gastroent & misc digest disorders, age 0-17, w/o cc";"Esophagitis, gastroent & misc digest disorders, age 0-17, w/";T;1998/11/23;"184B"
"184C";"06";"Esophagitis, gastroent & misc digest disorders, age 0-17, w cc";"Esoph, gastroent & misc digest disord, age 0-17, w cc";F;2010/03/04;"184C"
"184M";"06";"Esophagitis, gastroent & misc digest disorders, age 0-17, w mcc";"Esoph, gastroent & misc digest disord, age 0-17, w mcc";F;2010/03/04;"184M"
"184N";"06";"Esophagitis, gastroent & misc digest disorders, age 0-17, w/o cc";"Esoph, gastroent & misc digest disord, age 0-17, w/o cc";F;2010/03/04;"184N"
"184X";"06";"Esophagitis, gastroent & misc digest disorders, age 0-17";"Esophagitis, gastroent & misc digest disorders, age 0-17";F;1996/12/31;"184"
"185O";"06";"Dental & oral dis except extractions & restorations, short therapy";"Dental & oral dis except extractions & restorations, short t";F;2009/06/03;"185O"
"185X";"03";"Dental & oral dis except extractions & restorations, age > 17";"Dental & oral dis except extractions & restorations, age > 1";T;1996/12/31;"185"
"186C";"03";"Dental & oral dis except extractions & restorations w cc";"Dental & oral dis except extractions & restorations w cc";F;2010/03/04;"186C"
"186M";"03";"Dental & oral dis except extractions & restorations w mcc";"Dental & oral dis except extractions & restorations w mcc";F;2010/03/04;"186M"
"186N";"03";"Dental & oral dis except extractions & restorations w/o cc";"Dental & oral dis except extractions & restorations w/o cc";F;2010/03/04;"186N"
"186X";"03";"Dental & oral dis except extractions & restorations, age 0-17";"Dental & oral dis except extractions & restorations, age 0-1";T;1996/12/31;"186"
"187FA";"03";"Dental extractions & restorations";"Dental extractions & restorations";F;2007/11/14;"187A"
"187FC";"03";"Correction of physiology of bite";"Correction of physiology of bite";F;2007/11/13;"187C"
"187FD";"03";"Orthodontic care";"Orthodontic care";F;2006/01/13;"187D"
"187FE";"03";"Dental implant procedures";"Dental implant procedures";F;2007/11/13;"187E"
"187FF";"03";"Tooth bridge or prosthesis";"Tooth bridge or prosthesis";F;2006/01/13;"187F"
"187FG";"03";"Tooth care consultation or examination";"Tooth care consultation or examination";F;2008/02/13;"187G"
"187FH";"03";"Parodontology";"Parodontology";F;2006/01/13;"187H"
"187FJ";"03";"Karyology";"Karyology";F;2006/01/13;"187J"
"187O";"03";"Dental extractions & restorations, short therapy";"Dental extractions & restorations, short therapy";T;2003/05/23;"187O"
"187X";"03";"Dental extractions & restorations";"Dental extractions & restorations";T;2007/11/16;"187"
"188X";"06";"Other digestive system diagnoses, age > 17 w cc";"Other digestive system diagnoses, age > 17 w cc";T;1996/12/31;"188"
"189X";"06";"Other digestive system diagnoses, age > 17 w/o cc";"Other digestive system diagnoses, age > 17 w/o cc";T;1996/12/31;"189"
"190A";"06";"Other digestive system diagnoses, age 0-17, w cc";"Other digestive system diagnoses, age 0-17, w cc";F;1998/11/23;"190A"
"190B";"06";"Other digestive system diagnoses, age 0-17, w/o cc";"Other digestive system diagnoses, age 0-17, w/o cc";F;1998/11/23;"190B"
"190C";"06";"Other digestive system diagnoses w cc";"Other digestive system diagnoses w cc";F;2010/03/04;"190C"
"190M";"03";"Other digestive system diagnoses w mcc";"Other digestive system diagnoses w mcc";F;2010/03/04;"190M"
"190N";"06";"Other digestive system diagnoses w/o cc";"Other digestive system diagnoses w/o cc";F;2010/03/04;"190N"
"190P";"06";"Gastrointestinal pain, short therapy";"Gastrointestinal pain, short therapy";F;2009/06/03;"190P"
"190X";"06";"Other digestive system diagnoses, age 0-17";"Other digestive system diagnoses, age 0-17";T;1996/12/31;"190"
"191A";"07";"Pancreas transplantation w/wo kidney transplantation";"Pancreas transplantation w/wo kidney transplantation";T;2006/05/23;"191A"
"191B";"07";"Pancreas, liver & shunt procedures w cc";"Pancreas, liver & shunt procedures w cc";T;2006/04/27;"191B"
"191O";"07";"Pancreas transplantation w/wo kidney transplantation, short therapy";"Pancreas transpl w/wo kidney transpl, short therapy";T;2006/05/23;"191O"
"192C";"07";"Pancreas, liver & shunt procedures w cc";"Pancreas, liver & shunt procedures w cc";F;2010/03/04;"192C"
"192M";"07";"Pancreas, liver & shunt procedures w mcc";"Pancreas, liver & shunt procedures w mcc";F;2010/03/04;"192M"
"192N";"07";"Pancreas, liver & shunt procedures w/o cc";"Pancreas, liver & shunt procedures w/o cc";F;2010/03/04;"192N"
"192O";"07";"Pancreas, liver & shunt procedures, short therapy";"Pancreas, liver & shunt procedures, short therapy";T;2003/05/23;"192O"
"192X";"07";"Pancreas, liver & shunt procedures w/o cc";"Pancreas, liver & shunt procedures w/o cc";T;1996/12/31;"192"
"193C";"07";"Biliary tract proc except only cholecys w or w/o c. d. e. w cc";"Biliary tract proc except only cholecys w or w/o c. d. e. w";F;2010/03/04;"193C"
"193M";"07";"Biliary tract proc except only cholecys w or w/o c. d. e. w mcc";"Bili tract proc exc only cholecys w or w/o c. d. e. w mcc";F;2010/03/04;"193M"
"193X";"07";"Biliary tract proc except only cholecys w or w/o c. d. e. w cc";"Biliary tract proc except only cholecys w or w/o c. d. e. w";T;1996/12/31;"193"
"194X";"07";"Biliary tract proc except only cholecys w or w/o c. d. e. w/o cc";"Biliary tract proc except only cholecys w or w/o c. d. e. w/";T;1998/10/20;"194"
"195C";"07";"Cholecystectomy w c. d. e. w cc";"Cholecystectomy w c. d. e. w cc";F;2010/03/04;"195C"
"195M";"07";"Cholecystectomy w c. d. e. w mcc";"Cholecystectomy w c. d. e. w mcc";F;2010/03/04;"195M"
"195X";"07";"Cholecystectomy w c. d. e. w cc";"Cholecystectomy w c. d. e. w cc";T;1996/12/31;"195"
"196X";"07";"Cholecystectomy w c. d. e. w/o cc";"Cholecystectomy w c. d. e. w/o cc";T;2014/04/09;"196"
"197C";"07";"Cholecystectomy except by laparoscope w/o cde w cc";"Cholecystectomy except by laparoscope w/o cde w cc";F;2010/03/04;"197C"
"197M";"07";"Cholecystectomy except by laparoscope w/o cde w mcc";"Cholecystectomy except by laparoscope w/o cde w mcc";F;2010/03/04;"197M"
"197X";"07";"Cholecystectomy except by laparoscope w/o cde w cc";"Cholecystectomy except by laparoscope w/o cde w cc";T;1996/12/31;"197"
"198X";"07";"Cholecystectomy except by laparoscope w/o cde w/o cc";"Cholecystectomy except by laparoscope w/o cde w/o cc";T;1996/12/31;"198"
"199C";"07";"Hepatobiliary diagnostic procedure for malignancy w cc";"Hepatobiliary diagnostic procedure for malignancy w cc";F;2010/03/04;"199C"
"199M";"07";"Hepatobiliary diagnostic procedure for malignancy w mcc";"Hepatobiliary diagnostic procedure for malignancy w mcc";F;2010/03/04;"199M"
"199N";"07";"Hepatobiliary diagnostic procedure for malignancy";"Hepatobiliary diagnostic procedure for malignancy";F;2010/03/04;"199N"
"199X";"07";"Hepatobiliary diagnostic procedure for malignancy";"Hepatobiliary diagnostic procedure for malignancy";T;1996/12/31;"199"
"200C";"07";"Hepatobiliary diagnostic procedure for non-malignancy w cc";"Hepatobiliary diagnostic procedure for non-malignancy w cc";F;2010/03/04;"200C"
"200M";"07";"Hepatobiliary diagnostic procedure for non-malignancy w mcc";"Hepatobiliary diagnostic procedure for non-malignancy w mcc";F;2010/03/04;"200M"
"200N";"07";"Hepatobiliary diagnostic procedure for non-malignancy";"Hepatobiliary diagnostic procedure for non-malignancy";F;2010/03/04;"200N"
"200O";"07";"Hepatobiliary diagnostic procedures, short therapy";"Hepatobiliary diagnostic procedures, short therapy";T;2003/05/24;"200O"
"200X";"07";"Hepatobiliary diagnostic procedure for non-malignancy";"Hepatobiliary diagnostic procedure for non-malignancy";T;1996/12/31;"200"
"201C";"07";"Other hepatobiliary or pancreas o. r. procedures w cc";"Other hepatobiliary or pancreas o. r. procedures w cc";F;2010/03/04;"201C"
"201M";"07";"Other hepatobiliary or pancreas o. r. procedures w mcc";"Other hepatobiliary or pancreas o. r. procedures w mcc";F;2010/03/04;"201M"
"201N";"07";"Other hepatobiliary or pancreas o. r. procedures";"Other hepatobiliary or pancreas o. r. procedures";F;2010/03/04;"201N"
"201O";"07";"Other hepatobiliary or pancreas o. r. procedures, short therapy";"Other hepatobiliary or pancreas o. r. procedures, short ther";T;2003/05/24;"201O"
"201X";"07";"Other hepatobiliary or pancreas o. r. procedures";"Other hepatobiliary or pancreas o. r. procedures";T;1996/12/31;"201"
"202C";"07";"Cirrhosis & alcoholic hepatitis w cc";"Cirrhosis & alcoholic hepatitis w cc";F;2010/03/04;"202C"
"202M";"07";"Cirrhosis & alcoholic hepatitis w mcc";"Cirrhosis & alcoholic hepatitis w mcc";F;2010/03/04;"202M"
"202N";"07";"Cirrhosis & alcoholic hepatitis";"Cirrhosis & alcoholic hepatitis";F;2010/03/04;"202N"
"202X";"07";"Cirrhosis & alcoholic hepatitis";"Cirrhosis & alcoholic hepatitis";T;2014/04/09;"202"
"203A";"07";"Malignancy of hepatobiliary system or pancreas, radiotherapy";"Malignancy of hepatobiliary system or pancreas, radiotherapy";F;2006/01/15;"203A"
"203B";"07";"Malignancy of hepatobiliary system or pancreas, cytostatic therapy";"Malignancy of hepatobiliary system or pancreas, cytostatic t";F;2006/01/15;"203B"
"203C";"07";"Malignancy of hepatobiliary system or pancreas, demanding cytostatic therapy";"Malign of hepatobili syst or pancr, dem cytost therapy";F;2006/01/15;"203C"
"203D";"07";"Malignancy of hepatobiliary system or pancreas, special demanding cytostatic therapy";"Malign of hepatobili syst or pancr, spec dem cytost therapy";F;2006/01/15;"203D"
"203E";"07";"Malignancy of hepatobiliary system or pancreas";"Malignancy of hepatobiliary system or pancreas";F;2006/01/15;"203E"
"203M";"07";"Malignancy of hepatobiliary system or pancreas w mcc";"Malignancy of hepatobiliary system or pancreas w mcc";F;2010/03/04;"203M"
"203N";"07";"Malignancy of hepatobiliary system or pancreas";"Malignancy of hepatobiliary system or pancreas";F;2010/03/04;"203N"
"203X";"07";"Malignancy of hepatobiliary system or pancreas";"Malignancy of hepatobiliary system or pancreas";T;1996/12/31;"203"
"204A";"07";"Disorders of pancreas except malignancy, age 0-17 yrs";"Disorders of pancreas except malignancy, age 0-17 yrs";F;2003/10/09;"204A"
"204B";"07";"Disorders of pancreas except malignancy, age >17 yrs";"Disorders of pancreas except malignancy, age >17 yrs";F;2003/10/09;"204B"
"204C";"07";"Disorders of pancreas except malignancy w cc";"Disorders of pancreas except malignancy w cc";F;2010/03/04;"204C"
"204M";"07";"Disorders of pancreas except malignancy w mcc";"Disorders of pancreas except malignancy w mcc";F;2010/03/04;"204M"
"204N";"07";"Disorders of pancreas except malignancy";"Disorders of pancreas except malignancy";F;2010/03/04;"204N"
"204X";"07";"Disorders of pancreas except malignancy";"Disorders of pancreas except malignancy";T;1996/12/31;"204"
"205C";"07";"Disorders of liver except malig, cirr, alc hepa w cc";"Disorders of liver except malig, cirr, alc hepa w cc";F;2010/03/04;"205C"
"205M";"07";"Disorders of liver except malig, cirr, alc hepa w mcc";"Disorders of liver except malig, cirr, alc hepa w mcc";F;2010/03/04;"205M"
"205X";"07";"Disorders of liver except malig, cirr, alc hepa w cc";"Disorders of liver except malig, cirr, alc hepa w cc";T;1996/12/31;"205"
"206O";"07";"Disorders of liver except malig, cirr, alc hepa, short therapy";"Disorders of liver except malig, cirr, alc hepa, short thera";F;2009/06/03;"206O"
"206X";"07";"Disorders of liver except malig, cirr, alc hepa w/o cc";"Disorders of liver except malig, cirr, alc hepa w/o cc";T;1996/12/31;"206"
"207C";"07";"Disorders of biliary tract w cc";"Disorders of biliary tract w cc";F;2010/03/04;"207C"
"207M";"07";"Disorders of biliary tract w mcc";"Disorders of biliary tract w mcc";F;2010/03/04;"207M"
"207X";"07";"Disorders of biliary tract w cc";"Disorders of biliary tract w cc";T;1996/12/31;"207"
"208O";"07";"Disorders of biliary tract, short therapy";"Disorders of biliary tract, short therapy";F;2009/06/03;"208O"
"208X";"07";"Disorders of biliary tract w/o cc";"Disorders of biliary tract w/o cc";T;1996/12/31;"208"
"209A";"08";"Major joint procedures of lower extremity, not reoperation";"Major joint proc of lower extremit, not reoper";F;2003/01/29;"209A"
"209B";"08";"Reoperation on prosthesis in pelvic, knee or ankle or lower limb reattachment";"Reop on prosth in pelv, knee or ankle or lower limb reattach";F;2003/01/29;"209B"
"209C";"08";"Major joint secondary procedure on hip";"Major joint secondary procedure on hip";T;2012/02/01;"209C"
"209D";"08";"Major joint primary procedure on hip w cc";"Major joint primary procedure on hip w cc";T;2012/02/01;"209D"
"209E";"08";"Major joint primary procedure on hip w/o cc";"Major joint primary procedure on hip w/o cc";T;2012/02/01;"209E"
"209F";"08";"Major joint secondary procedure on knee/ankle";"Major joint secondary procedure on knee/ankle";T;2012/02/01;"209F"
"209G";"08";"Major joint primary procedure on knee/ankle";"Major joint primary procedure on knee/ankle";T;2012/02/01;"209G"
"209O";"08";"Major joint procedures of lower extremity, not reoperation, short therapy";"Major joint procedures of lower extremity, not reoperation,";T;2003/05/25;"209O"
"209X";"08";"Major joint & limb reattachment procedures of lower extremity";"Major joint & limb reattachment procedures of lower extremit";F;1998/11/22;"209"
"210A";"08";"Major pelvic, hip and femur trauma procedures, age >17 yrs, with CC";"";T;2013/06/09;"210A"
"210N";"08";"Pelvic, hip and femur procedures except major joint, age > 17, with cc";"";T;2013/06/09;"210N"
"210X";"08";"Hip & femur procedures except major joint, age > 17, w cc";"Hip & femur procedures except major joint, age > 17, w cc";F;1996/12/31;"210"
"211A";"08";"Major pelvic, hip and femur trauma procedures, age >17 yrs, w/o CC";"";T;2013/06/09;"211A"
"211N";"08";"Pelvic, hip and femur procedures except major joint, age > 17, w/o cc";"";T;2013/06/09;"211N"
"211X";"08";"Hip & femur procedures except major joint, age > 17, w/o cc";"Hip & femur procedures except major joint, age > 17, w/o cc";F;1996/12/31;"211"
"212A";"08";"Hip & femur procedures except major joint, age 0-17, w cc";"Hip & femur procedures except major joint, age 0-17, w cc";F;1998/11/23;"212A"
"212B";"08";"Hip & femur procedures except major joint, age 0-17, w/o cc";"Hip & femur procedures except major joint, age 0-17, w/o cc";F;1998/11/23;"212B"
"212C";"08";"Hip & femur procedures except major joint, age 0-17 w cc";"Hip & femur procedures except major joint, age 0-17 w cc";F;2010/03/04;"212C"
"212N";"08";"Hip & femur procedures except major joint, age 0-17";"Hip & femur procedures except major joint, age 0-17";F;2010/03/04;"212N"
"212O";"08";"Hip & femur procedures except major joint, short therapy";"Hip & femur procedures except major joint, short therapy";T;2003/05/25;"212O"
"212X";"08";"Hip & femur procedures except major joint, age 0-17";"Hip & femur procedures except major joint, age 0-17";T;1996/12/31;"212"
"213O";"08";"Amputation for musculoskeletal system & conn tissue disorder, short therapy";"Amputation for musculoskeletal system & conn tissue disorder";T;2003/05/25;"213O"
"213X";"08";"Amputation for musculoskeletal system & conn tissue disorder";"Amputation for musculoskeletal system & conn tissue disorder";T;2001/08/05;"213"
"214A";"08";"Combined anterior/posterior spinal fusion";"Combined anterior/posterior spinal fusion";T;2003/05/16;"214A"
"214B";"08";"Spinal fusion with cc";"Spinal fusion with cc";T;2003/05/16;"214B"
"214C";"08";"Spinal fusion, w cc";"Spinal fusion, w cc";T;2010/05/12;"214C"
"214M";"08";"Spinal fusion, w mcc";"Spinal fusion, w mcc";F;2010/03/04;"214M"
"214N";"08";"Spinal fusion, w/o cc";"Spinal fusion, w/o cc";F;2010/03/04;"214N"
"215A";"08";"Intervertebral disc operation in lumbar region w/o cc";"Intervertebral disc operation in lumbar region w/o cc";F;2000/11/23;"215A"
"215B";"08";"Anterior or posterior spinal fusion, w/o cc";"Anterior or posterior spinal fusion, w/o cc";T;2008/04/13;"215B"
"215C";"08";"Back & neck procedures except spinal fusion, w cc";"Back & neck procedures except spinal fusion, w cc";T;2010/05/12;"215C"
"215M";"08";"Back & neck procedures except spinal fusion, w mcc";"Back & neck procedures except spinal fusion, w mcc";F;2010/05/12;"215M"
"215N";"08";"Back & neck procedures except spinal fusion,  w/o cc";"Back & neck procedures except spinal fusion,  w/o cc";F;2010/03/04;"215N"
"215O";"08";"Back & neck procedures, short therapy";"Back & neck procedures, short therapy";T;2003/05/25;"215O"
"216C";"08";"Biopsies of musculosceletal system & connective tissue w cc";"Biopsies of musculosceletal system & connective tissue w cc";F;2010/03/04;"216C"
"216N";"08";"Biopsies of musculosceletal system & connective tissue";"Biopsies of musculosceletal system & connective tissue";F;2010/03/04;"216N"
"216O";"08";"Biopsies of musculosceletal system & connective tissue, short therapy";"Biopsies of musculosceletal system & connective tissue, shor";T;2003/05/25;"216O"
"216X";"08";"Biopsies of musculosceletal system & connective tissue";"Biopsies of musculosceletal system & connective tissue";T;1997/11/10;"216"
"217C";"08";"Wnd debrid & skn grft except hand, for muscscelet & conn tissue disease w cc";"Wnd debrid&skn grft exc hand, for muscscel & conn tis w cc";F;2010/03/04;"217C"
"217M";"08";"Wnd debrid & skn grft except hand, for muscscelet & conn tissue disease w mcc";"Wnd debrid&skn grft exc hand, for muscscel & conn tis w mcc";F;2010/03/04;"217M"
"217N";"08";"Wnd debrid & skn grft except hand, for muscscelet & conn tissue disease";"Wnd debrid & skn grft exc hand, for muscscelet & conn tis";F;2010/03/04;"217N"
"217O";"08";"Wnd debrid & skn grft except hand, for muscscelet & conn tissue disease, short therapy";"Wnd debrid & skn grft except hand, for muscscelet & conn tis";T;2003/05/25;"217O"
"217X";"08";"Wnd debrid & skn grft except hand, for muscscelet & conn tissue disease";"Wnd debrid & skn grft except hand, for muscscelet & conn tis";T;2001/08/05;"217"
"218C";"08";"Lower extrem & humer proc except hip, foot, femur age > 17, w cc";"Lower extr&humer proc exc hip, foot, femur age > 17, w cc";F;2010/03/04;"218C"
"218M";"08";"Lower extrem & humer proc except hip, foot, femur w mcc";"Lower extr&humer proc exc hip, foot, femur, w mcc";F;2010/03/04;"218M"
"218X";"08";"Lower extrem & humer proc except hip, foot, femur age > 17, with cc";"Lower extrem & humer proc except hip, foot, femur age > 17,";T;1998/10/21;"218"
"219X";"08";"Lower extrem & humer proc except hip, foot, femur age > 17, w/o cc";"Lower extrem & humer proc except hip, foot, femur age > 17,";T;1997/12/12;"219"
"220A";"08";"Lower extrem & humer proc except hip, foot, femur age 0-17, w cc";"Lower extrem & humer proc except hip, foot, femur age 0-17,";F;1998/11/23;"220A"
"220B";"08";"Lower extrem & humer proc except hip, foot, femur age 0-17, w/o cc";"Lower extrem & humer proc except hip, foot, femur age 0-17,";F;1998/11/23;"220B"
"220C";"08";"Lower extrem & humer proc except hip, foot, femur age 0-17 w cc";"Lower extrem & humer proc except hip, foot, femur age 0-17 w";F;2010/03/04;"220C"
"220N";"08";"Lower extrem & humer proc except hip, foot, femur age 0-17";"Lower extrem & humer proc except hip, foot, femur age 0-17";F;2010/03/04;"220N"
"220O";"08";"Lower extrem & humer proc except hip, foot, femur, short therapy";"Lower extrem & humer proc except hip, foot, femur, short the";T;2003/05/25;"220O"
"220X";"08";"Lower extrem & humer proc except hip, foot, femur age 0-17";"Lower extrem & humer proc except hip, foot, femur age 0-17";T;1996/12/31;"220"
"221C";"08";"Knee procedures w cc";"Knee procedures w cc";F;2010/03/04;"221C"
"221M";"08";"Knee procedures w mcc";"Knee procedures w mcc";F;2010/03/04;"221M"
"221X";"08";"Knee procedures w cc";"Knee procedures w cc";T;2009/04/17;"221"
"222A";"08";"Knee procedures w/o cc, age 0-17 yrs";"Knee procedures w/o cc, age >17 yrs";F;2003/10/09;"222A"
"222B";"08";"Knee procedures w/o cc, age >17 yrs";"Knee procedures w/o cc, age >17 yrs";F;2003/10/09;"222B"
"222O";"08";"Knee procedures, short therapy";"Knee procedures, short therapy";T;2003/05/25;"222O"
"222P";"08";"Major knee procedures, short therapy";"Major knee procedures, short therapy";T;2012/02/01;"222P"
"222X";"08";"Knee procedures w/o cc";"Knee procedures w/o cc";T;1996/12/31;"222"
"223C";"08";"Major shoulder/elbow proc, or other upper extremity proc w cc";"Major shoulder/elbow proc, or other upper extr proc w cc";F;2010/03/04;"223C"
"223M";"08";"Major shoulder/elbow proc w cc";"Major shoulder/elbow proc w cc";F;2010/05/12;"223M"
"223O";"08";"Major shoulder/elbow proc, or other upper extremity proc, short therapy";"Major shoulder/elbow proc, or other upper extremity proc, sh";T;2003/05/25;"223O"
"223X";"08";"Major shoulder/elbow proc, or other upper extremity proc w cc";"Major shoulder/elbow proc, or other upper extremity proc w c";T;1998/11/22;"223"
"224A";"08";"Shoulder, elbow or forearm procedrus, except major joint procedurs, w/o cc, age 0-17 yrs";"Should/elb/forearm proc, exc maj joint proc, w/o cc, 0-17";F;2003/10/09;"224A"
"224B";"08";"Shoulder, elbow or forearm procedrus, except major joint procedurs, w/o cc, age >17 yrs";"Should/elb/forearm proc, exc maj joint proc, w/o cc, >17";F;2003/10/09;"224B"
"224O";"08";"Shoulder, elbow or forearm proc, exc major joint proc, short therapy";"Shoulder, elbow or forearm proc, exc major joint proc, short";T;2003/05/25;"224O"
"224X";"08";"Shoulder, elbow or forearm proc, exc major joint proc, w/o cc";"Shoulder, elbow or forearm proc, exc major joint proc, w/o c";T;1998/11/22;"224"
"225A";"08";"Other foot procedures, age 0-17 yrs";"Other foot procedures, age 0-17 yrs";F;2003/10/10;"225A"
"225B";"08";"Other foot procedures, age >17 yrs";"Other foot procedures, age >17 yrs";F;2003/10/10;"225B"
"225C";"08";"Foot procedures for fracture";"Foot procedures for fracture";F;2003/10/09;"225C"
"225N";"08";"Foot procedures";"Foot procedures";F;2010/03/04;"225N"
"225O";"08";"Foot procedures, short therapy";"Foot procedures, short therapy";T;2003/05/25;"225O"
"225P";"08";"Foot procedure for fracture, short therapy";"Foot procedure for fracture, short therapy";F;2004/11/16;"225P"
"225X";"08";"Foot procedures";"Foot procedures";T;1996/12/31;"225"
"226A";"08";"Soft tissue procedures w cc, age 0-17 yrs";"Soft tissue procedures w cc, age 0-17 yrs";F;2003/10/10;"226A"
"226B";"08";"Soft tissue procedures w cc, age >17 yrs";"Soft tissue procedures w cc, age >17 yrs";F;2003/10/10;"226B"
"226X";"08";"Soft tissue procedures w cc";"Soft tissue procedures w cc";T;1996/12/31;"226"
"227A";"08";"Soft tissue procedures w/o cc, age 0-17 yrs";"Soft tissue procedures w/o cc, age 0-17 yrs";F;2003/10/10;"227A"
"227B";"08";"Soft tissue procedures w/o cc, age >17 yrs";"Soft tissue procedures w/o cc, age >17 yrs";F;2003/10/10;"227B"
"227O";"08";"Soft tissue procedures, short therapy";"Soft tissue procedures, short therapy";T;2003/05/25;"227O"
"227X";"08";"Soft tissue procedures w/o cc";"Soft tissue procedures w/o cc";T;2006/04/27;"227"
"228A";"08";"Major thumb or joint proc, or oth hand or wrist proc w cc, age 0-17 yrs";"Major thumb or joint proc, or oth hand/wrist proc w cc, 0-17";F;2003/10/10;"228A"
"228B";"08";"Major thumb or joint proc, or oth hand or wrist proc w cc, age >17 yrs";"Major thumb or joint proc, or oth hand/wrist proc w cc, >17";F;2003/10/10;"228B"
"228C";"08";"Hand or wrist proc w cc";"Hand or wrist proc w cc";F;2010/03/04;"228C"
"228M";"08";"Major thumb or wrist w cc or other hand or wrist with mcc";"Major thumb or wrist w cc or other hand or wrist with mcc";F;2010/05/12;"228M"
"228N";"08";"Hand or wrist proc w/o cc";"Hand or wrist proc w/o cc";F;2010/03/04;"228N"
"228O";"08";"Major thumb or joint proc, or other hand or wrist procedures, short therapy";"Major thumb or joint proc, or other hand or wrist procedures";T;2003/05/25;"228O"
"228X";"08";"Major thumb or joint proc, or oth hand or wrist proc w cc";"Major thumb or joint proc, or oth hand or wrist proc w cc";T;1996/12/31;"228"
"229A";"08";"Hand or wrist proc, except major joint proc, w/o cc, age 0-17 yrs";"Hand or wrist proc, except major joint proc, w/o cc, 0-17";F;2003/10/10;"229A"
"229B";"08";"Hand or wrist proc, except major joint proc, w/o cc, age >17 yrs";"Hand or wrist proc, except major joint proc, w/o cc, age >17";F;2003/10/10;"229B"
"229O";"08";"Hand or wrist procedures, except major joint procedures, short therapy";"Hand or wrist procedures, except major joint procedures, sho";T;2003/05/25;"229O"
"229X";"08";"Hand or wrist proc, except major joint proc, w/o cc";"Hand or wrist proc, except major joint proc, w/o cc";T;1996/12/31;"229"
"230C";"08";"Local excision & removal of int fix devices of hip & femur w cc";"Local excision & removal of int fix devices of hip & femur w";F;2010/03/04;"230C"
"230N";"08";"Local excision & removal of int fix devices of hip & femur";"Local excision & removal of int fix devices of hip & femur";F;2010/03/04;"230N"
"230O";"08";"Local excision & removal of int fix devices of hip & femur, short therapy";"Local excision & removal of int fix devices of hip & femur,";T;2003/05/25;"230O"
"230X";"08";"Local excision & removal of int fix devices of hip & femur";"Local excision & removal of int fix devices of hip & femur";T;1996/12/31;"230"
"231O";"08";"Local excision & removal of int fix devices except hip & femur, short therapy";"Local excision & removal of int fix devices except hip & fem";T;2003/05/25;"231O"
"231X";"08";"Local excision & removal of int fix devices except hip & femur";"Local excision & removal of int fix devices except hip & fem";T;1996/12/31;"231"
"232A";"08";"Arthroscopy, age 0-17 yrs";"Arthroscopy, age 0-17 yrs";F;2003/10/10;"232A"
"232B";"08";"Arthroscopy, age >17 yrs";"Arthroscopy, age >17 yrs";F;2003/10/10;"232B"
"232C";"08";"Arthroscopy w cc";"Arthroscopy w cc";F;2010/03/04;"232C"
"232N";"08";"Arthroscopy";"Arthroscopy";F;2010/03/04;"232N"
"232O";"08";"Arthroscopy, short therapy";"Arthroscopy, short therapy";T;2003/05/25;"232O"
"232X";"08";"Arthroscopy";"Arthroscopy";T;1997/12/11;"232"
"233X";"08";"Other musculoscelet sys & conn tiss o. r. proc w cc";"Other musculoscelet sys & conn tiss o. r. proc w cc";T;1996/12/31;"233"
"234O";"08";"Other musculoscelet system & connective tissue o. r. procedures, short therapy";"Other musculoscelet sys & conn tiss o. r. procedures, short";T;2003/05/25;"234O"
"234X";"08";"Other musculoscelet sys & conn tiss o. r. proc w/o cc";"Other musculoscelet sys & conn tiss o. r. proc w/o cc";T;1998/01/11;"234"
"235C";"08";"Fractures of femur w cc";"Fractures of femur w cc";F;2010/03/04;"235C"
"235N";"08";"Fractures of femur";"Fractures of femur";F;2010/03/04;"235N"
"235X";"08";"Fractures of femur";"Fractures of femur";T;1996/12/31;"235"
"236A";"08";"Fractures of hip & pelvis, age 0-17 yrs";"Fractures of hip & pelvis, age 0-17 yrs";F;2003/10/10;"236A"
"236B";"08";"Fractures of hip & pelvis, age >17 yrs";"Fractures of hip & pelvis, age >17 yrs";F;2003/10/10;"236B"
"236C";"08";"Fractures of hip & pelvis w cc";"Fractures of hip & pelvis w cc";F;2010/03/04;"236C"
"236M";"08";"Fractures of hip & pelvis w mcc";"Fractures of hip & pelvis w mcc";F;2010/03/04;"246M"
"236N";"08";"Fractures of hip & pelvis";"Fractures of hip & pelvis";F;2010/03/04;"236N"
"236X";"08";"Fractures of hip & pelvis";"Fractures of hip & pelvis";T;1996/12/31;"236"
"237C";"08";"Sprains, strains, & dislocations of hip, pelvis & thigh w cc";"Sprains, strains, & dislocations of hip, pelvis & thigh w cc";F;2010/03/04;"237C"
"237N";"08";"Sprains, strains, & dislocations of hip, pelvis & thigh";"Sprains, strains, & dislocations of hip, pelvis & thigh";F;2010/03/04;"237N"
"237X";"08";"Sprains, strains, & dislocations of hip, pelvis & thigh";"Sprains, strains, & dislocations of hip, pelvis & thigh";T;1996/12/31;"237"
"238C";"08";"Osteomyelitis w cc";"Osteomyelitis w cc";F;2010/03/04;"238C"
